Unnamed: 0,cidade,longitude,latitude,periodo_inicial,periodo_final,ndvi_medio,evi_medio,leaf_area_index_medio,sm_rootzone_pctl_medio,sm_profile_pctl_medio,lst_day_1km_c
59,eucalipto,-48.2348555,-23.0168264,2023-03-26,2023-04-15,0.868,0.5768,2.537114592159496,,77.74931604721968,25.393711804702264
60,eucalipto,-48.2348555,-23.0168264,2023-04-15,2023-05-05,0.8573,0.5662,2.247041926664465,,85.40703358369716,22.44436171410797
61,eucalipto,-48.2348555,-23.0168264,2023-05-05,2023-05-25,0.8547,0.5245,1.9982368385090548,54.75166320800781,76.68797661276425,20.320551661331194
62,eucalipto,-48.2348555,-23.0168264,2023-05-25,2023-06-14,0.847,0.4752,1.6801952614503748,55.91123558493222,60.4462444081026,21.006156936779973
63,eucalipto,-48.2348555,-23.0168264,2023-06-14,2023-07-04,0.8211,0.4588,1.455456586445079,76.21434783935547,75.4872490377987,18.624381725835462
64,eucalipto,-48.2348555,-23.0168264,2023-07-04,2023-07-24,0.8143,0.4682,1.3160677797654097,59.59429639928481,66.52493914435892,19.54586911226704
65,eucalipto,-48.2348555,-23.0168264,2023-07-24,2023-08-13,0.7826,0.4871,1.2364323384621565,51.28240966796875,51.22155537324792,22.087515864424176
66,eucalipto,-48.2348555,-23.0168264,2023-08-13,2023-09-02,0.7827,0.4217,1.2145615570685442,52.08616638183594,43.0406743217917,22.96829270339174
67,eucalipto,-48.2348555,-23.0168264,2023-09-02,2023-09-22,0.8133,0.436,1.263700246810913,32.7686767578125,41.152245016659016,25.73138792074104
68,eucalipto,-48.2348555,-23.0168264,2023-09-22,2023-10-12,0.7705,0.4745,1.4212377912857952,70.58464633717256,37.695805493523096,28.84536149952288
69,eucalipto,-48.2348555,-23.0168264,2023-10-12,2023-11-01,0.8505,0.4865,1.6789841301300947,82.14348871567671,83.70556191837086,25.274378449027097
70,eucalipto,-48.2348555,-23.0168264,2023-11-01,2023-11-21,0.8488,0.549,2.0217632476021263,48.61398696899414,68.02841500674977,29.58140284635488
71,eucalipto,-48.2348555,-23.0168264,2023-11-21,2023-12-11,0.8393,0.6007,2.2264439077938305,44.15721983068129,57.38728512034697,28.53517613377045
72,eucalipto,-48.2348555,-23.0168264,2023-12-11,2023-12-31,0.8289,0.609,2.4735688181484448,11.115962140700397,20.11053534115062,28.357827009567075
73,eucalipto,-48.2348555,-23.0168264,2023-12-31,2024-01-20,0.8362,0.5021,2.601355089860804,3.29839087935055,0.4832731520428377,28.420954285814844
74,eucalipto,-48.2348555,-23.0168264,2024-01-20,2024-02-09,0.8738,0.5184,2.8756272652569943,19.49146540024701,11.457125495461856,23.75549104463164
75,eucalipto,-48.2348555,-23.0168264,2024-02-09,2024-02-29,0.8671,0.4753,2.964790736927706,13.40948211445528,10.50602273380055,27.46253790299164
76,eucalipto,-48.2348555,-23.0168264,2024-02-29,2024-03-20,0.8691,0.5709,2.837969948263729,,7.680053402395809,27.02813396401251
77,eucalipto,-48.2348555,-23.0168264,2024-03-20,2024-04-09,0.8716,0.5356,2.606389971340404,,6.845728593714097,26.35084381007715
78,eucalipto,-48.2348555,-23.0168264,2024-04-09,2024-04-29,0.8461,0.5573,2.3393965679056503,,8.504551775315228,24.901322578089943
79,eucalipto,-48.2348555,-23.0168264,2024-04-29,2024-05-19,0.8081,0.4892,2.0750856820274803,,2.5071478030260868,25.833526553318904
80,eucalipto,-48.2348555,-23.0168264,2024-05-19,2024-06-08,0.8327,0.5006,1.775390681098489,9.79806406357709,1.8783829492681168,21.171565085606687
81,eucalipto,-48.2348555,-23.0168264,2024-06-08,2024-06-28,0.8135,0.4566,1.508073280839359,0.1113959270365098,0.1698491781511727,21.22621227334963
82,eucalipto,-48.2348555,-23.0168264,2024-06-28,2024-07-18,0.761,0.4329,1.3531851347754984,12.043657246757956,2.5612509951871987,18.66483006237638
83,eucalipto,-48.2348555,-23.0168264,2024-07-18,2024-08-07,0.8003,0.4425,1.252434681443607,10.70681594399845,4.853937092949362,20.19751184917328
